Country ,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Brunei Darussalam,77.7,75.8,77.8,76.9,76.4,77.5,76.6,77.1,76.3,74.5,
Cambodia,64.8,65.6,66.4,67.1,67.9,68.6,74.2,69.9,70.6,71.2,
Indonesia,68.5,68.9,68.9,68.1,69.2,69.3,69.4,69.6,69.7,69.9,
Lao,65,66,65,63,65,64,65,65,65,66,
Malaysia,72.3,72.4,72.5,72.1,72.1,72.3,72.5,72.5,72.3,71.3,
Myanmar,65.5,59.3,59.7,60.3,60.8,61.3,62,62,62.7,62.8,
Phillipines,-,-,69.6,-,-,-,-,71.3,71.3,71.3,
Singapore,80.1,80.3,80.5,80.7,80.9,81.2,81.4,81.3,80.8,80.7,
Thailand,-,-,-,71.2,71.8,72,71.9,72.4,73.5,73.6,
Vietnam,70.5,70.6,70.7,70.8,70.9,70.9,71,71,71.1,71.1,
